variant,product_idea,category,gen_time_s,prd_length,completeness,feasibility,consistency,relevance,overall,reviewer_score,reflection_round,timestamp
V1_baseline,一个帮助职场新人做职业规划的AI助手，根据用户技能和目标推荐学习路径，并生成个性化周计划,tools,196.0,5521,9,9,8,9,8.8,,,14:51:12
V1_baseline,一个面向大学生的校园二手交易小程序，支持发布、浏览、聊天、线下交易,social,189.0,4022,10,9,7,9,8.8,,,14:56:47
V1_baseline,一个AI驱动的智能客服机器人，能理解自然语言，支持多轮对话，可接入企业微信和钉钉,ai_apps,158.0,5206,9,8,8,9,8.5,,,15:01:38
V1_baseline,一个面向小微商家的进销存管理SaaS工具，支持库存管理、销售统计、供应商管理,tools,205.0,5194,9,8,8,10,8.8,,,15:06:56
V1_baseline,一个基于用户兴趣图谱的内容推荐社区，支持图文、短视频、直播三种内容形态,social,208.0,6438,9,8,7,10,8.5,,,15:12:31
V2_multi_agent,一个帮助职场新人做职业规划的AI助手，根据用户技能和目标推荐学习路径，并生成个性化周计划,tools,644.0,5173,10,8,9,10,9.2,68,2,15:24:56
V2_multi_agent,一个面向大学生的校园二手交易小程序，支持发布、浏览、聊天、线下交易,social,752.0,5010,10,8,7,9,8.5,84,0,15:39:51
V2_multi_agent,一个AI驱动的智能客服机器人，能理解自然语言，支持多轮对话，可接入企业微信和钉钉,ai_apps,1115.0,6249,9,7,10,8,8.5,85,1,16:00:29
V2_multi_agent,一个面向小微商家的进销存管理SaaS工具，支持库存管理、销售统计、供应商管理,tools,839.0,6055,10,8,9,10,9.2,80,0,16:19:17
V2_multi_agent,一个基于用户兴趣图谱的内容推荐社区，支持图文、短视频、直播三种内容形态,social,865.0,5742,10,8,9,10,9.2,81,0,16:35:08
